a,
6100000324e40fcb63a0b517a3660645e9bd99244a,0000000001312d00
6100000e474ea919000015b80ccb7f4e6cc73e2f52,0000000000000000
61000023415fc7ba8a470f0cdf4a66bffacd5ba979,000000005c18bd6f
610000298e7db49c1f582e316bb3706fc3c71193cf,0000000001f0f430
6100002c5bca153faaf3c644304f8a259340064f6c,0000000000000000
6100002e6db2ae2c415a34d2d36d3cf61ac7133196,000000000bebc200
6100002ea3970f0f658f50dbdb27abbb716ed01c80,0000000000000000
610000345ff10a01448c42bf1a89a4399e8b82c1aa,0000000001ceef65
610000437bd840e2463d3dfc8c80e66e2585dd02b3,00000000000eb7a7
6100004cd6a62be5ccbfbef3ffca345c8f58595f87,000000001feadeb0
